title,region,category,year,km,price
Volkswagen Gol Nuevo Gol Trendline 1.6 +volante Multifunción,RM (Metropolitana),auto,2021,0 Km,6.990.000
Volkswagen Nuevo T-cross Nuevo T-cross Trendline Mt,RM (Metropolitana),auto,2021,0 Km,11.790.000
Mg 3 Mg3,RM (Metropolitana),auto,2014,160.000 Km,3.900.000
Kia Cerato Ex 1.6 Ex 1.6,RM (Metropolitana),auto,2017,79.000 Km,7.990.000
Paugeot 208active 1.2 Active,RM (Metropolitana),auto,2017,21.000 Km,7.390.000
Suzuki Swift Desarme 1.2 Mecánico,RM (Metropolitana),auto,2017,72.000 Km,2.000.000
Suzuki Ignis 1.3,RM (Metropolitana),auto,2006,10.000 Km,10.000
Mercedes-benz C180 Full Equipo,Valparaíso,auto,2013,89.195 Km,11.500.000
Great Wall M 4 En,RM (Metropolitana),auto,2019,33.000 Km,7.200.000
Mitsubishi Outlander 2.0 Lx At Ac Dab,RM (Metropolitana),auto,2020,6.800 Km,16.590.000
Hyundai H100 Porte Porter 2008 Porter,La Araucanía,auto,2008,200.000 Km,7.000.000
Chevrolet Captiva Ls,Valparaíso,auto,2008,85.000 Km,6.800.000
Mazda 2 1.5 At,RM (Metropolitana),auto,2009,150.545 Km,5.850.000
Mazda Cx5 Cx5   R2  2wd Mt 6 2wd Mt 6,RM (Metropolitana),auto,2019,4.000 Km,17.100.000
Suzuki Furgon Carry Furgon,RM (Metropolitana),auto,1996,120 Km,2.500.000
Chevrolet Sail En Desarme,RM (Metropolitana),auto,2018,12.346 Km,123.464
Golden Dragon Xml6700j23 Xml6700j23 Bus,RM (Metropolitana),auto,2013,214.365 Km,12.990.000
Furgon Escolar Yin B Hiasse 2.2 Motor Toyota,RM (Metropolitana),auto,2011,220.000 Km,6.000.000
Mitsubishi Katana Crt 4x4 Crt 4x4,Valparaíso,auto,2015,87.070 Km,14.800.000
Chevrolet Captiva Captiva 2.2 2.2,Valparaíso,auto,2013,120.000 Km,8.500.000
Mahindra Pick Up 2.2 Pick Up,Los Ríos,auto,2014,199.000 Km,6.400.000
